"","X.1","sciname","locname","howmany","obsdt","comname","db","query","species","genus","family","order","obsdt2","region","X","Y","week","weekNum"
"114",4427,"Anas acuta","Ryder Lake",1,"2017-10-29 13:20","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-29,"BC",4089295.3386367,1948449.19966767,0,13
"115",4429,"Anas acuta","Keephills Plant Cooling Ponds",2,"2018-01-13 11:45","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-13,"AB",4752431.81358666,2181644.80800571,6,23
"116",4430,"Anas acuta","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",6,"2018-01-11 10:05","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-11,"BC",4022690.72560239,1977113.38447305,4,23
"117",4434,"Anas acuta","Abbotsford--Willband Creek Park",45,"2017-11-29 09:37","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-11-29,"BC",4061974.44569012,1957980.72499229,3,17
"118",4436,"Anas acuta","McDonald Park, Fraser Valley",1,"2018-01-15 16:00","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-15,"BC",4072234.30031994,1954991.92961239,1,24
"119",4451,"Anas acuta","Abbotsford--Willband Creek Park",14,"2018-01-24 14:24","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-24,"BC",4061974.44569012,1957980.72499229,3,25
"120",4458,"Anas acuta","Brazeau Dam",1,"2017-10-15","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-15,"AB",4664279.20756534,2157401.20573918,0,11
"121",4460,"Anas acuta","Vancouver--Jericho Park",2,"2017-10-29 16:30","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-29,"BC",4013531.16118756,2008779.00187181,0,13
"122",4476,"Anas acuta","Keephills Plant Cooling Ponds",2,"2017-10-28 10:24","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-28,"AB",4752431.81358666,2181644.80800571,6,12
"123",4484,"Anas acuta","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",3,"2017-09-27 14:00","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-27,"BC",4022690.72560239,1977113.38447305,3,8
"124",4489,"Anas acuta","2520 Alberta 11, Benalto, Alberta, CA (52.319, -114.28)",2,"2017-10-16","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-16,"AB",4720391.61566766,2059446.62055508,1,11
"125",4498,"Anas acuta","Boundary Bay--104th to 112th Sts., Delta",6000,"2017-10-29 15:54","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-29,"BC",4020802.26498919,1980715.72483196,0,13
"126",4511,"Anas acuta","Murray Marsh",120,"2017-09-26 07:30","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-26,"AB",4800299.87118808,2194819.77332181,2,8
"127",4542,"Anas acuta","Backyard",2,"2017-11-15 09:45","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-11-15,"BC",4084710.70353456,1952832.71761642,3,15
"128",4552,"Anas acuta","Cheam Lake Wetlands Regional Park",6,"2017-10-30 13:00","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-30,"BC",4102621.32935356,1952732.25214386,1,13
"129",4554,"Anas acuta","Keephills Plant Cooling Ponds",2,"2017-10-28 10:24","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-28,"AB",4752431.81358666,2181644.80800571,6,12
"130",4560,"Anas acuta","CA-AB-36400-36498 Range Road 254A (52.1251,-113.5374)",1,"2017-10-25","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-25,"AB",4760319.55787882,2022308.64521427,3,12
"131",4580,"Anas acuta","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",200,"2017-11-17 11:03","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-11-17,"BC",4022690.72560239,1977113.38447305,5,15
"132",4584,"Anas acuta","Abbotsford--Willband Creek Park",20,"2017-12-05 10:07","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-12-05,"BC",4061974.44569012,1957980.72499229,2,18
"133",4607,"Anas acuta","White Rock Pier",12,"2017-12-27 14:45","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-12-27,"BC",4025324.96557569,1970644.99748289,3,21
"134",4611,"Anas acuta","Murray Marsh",6,"2017-10-15","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-15,"AB",4800299.87118808,2194819.77332181,0,11
"135",4612,"Anas acuta","Iona Island (general)",800,"2017-12-21 09:50","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-12-21,"BC",4009818.07842358,2004433.93434014,4,20
"136",4613,"Anas acuta","RR12 Gravel Parkland County",21,"2017-10-05","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-05,"AB",4779376.15389952,2176424.45515421,4,9
"137",4614,"Anas acuta","Tsawwassen Ferry Terminal Jetty",15,"2018-01-25 10:00","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-25,"BC",4005067.09485163,1981047.1476271,4,25
"138",4625,"Anas acuta","Boundary Bay 96-88 St. (mansion), Delta",300,"2017-09-15 18:16","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-15,"BC",4017521.41968722,1981232.00224518,5,6
"139",4644,"Anas acuta","CA-AB-36400-36498 Range Road 254A (52.1251,-113.5374)",1,"2017-10-25 13:30","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-25,"AB",4760319.55787882,2022308.64521427,3,12
"140",4649,"Anas acuta","Abbotsford--Willband Creek Park",3,"2017-11-08 09:54","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-11-08,"BC",4061974.44569012,1957980.72499229,3,14
"141",4652,"Anas acuta","Cooking Lake",7,"2017-10-21","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-21,"AB",4837650.63291609,2145286.9641471,6,11
"142",4655,"Anas acuta","Murray Marsh",6,"2017-10-20","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-20,"AB",4800299.87118808,2194819.77332181,5,11
"143",4663,"Anas acuta","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",45,"2018-01-04 12:07","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-04,"BC",4022690.72560239,1977113.38447305,4,22
"144",4689,"Anas acuta","Reifel Bird Sanctuary",NA,"2017-12-13 14:51","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-12-13,"BC",4005117.17973462,1991652.37070744,3,19
"145",4723,"Anas acuta","Chilliwack--Prairie Central Road",20,"2018-01-21 14:10","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-21,"BC",4091330.72974966,1952448.42378628,0,25
"146",4743,"Anas acuta","Lacombe (city)",NA,"2017-08-25","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-08-25,"AB",4761011.97300036,2062953.67401567,5,3
"147",4744,"Anas acuta","Genessee Lake",NA,"2017-10-21","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-21,"AB",4754270.81718289,2166982.44651644,6,11
"148",4745,"Anas acuta","Iona Island outer pond",120,"2018-01-18 09:53","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-18,"BC",4009668.00037907,2004241.68562741,4,24
"149",4754,"Anas acuta","Range Road 252, Legal, Alberta, CA (53.965, -113.62)",10,"2017-10-21","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-21,"AB",4822781.27147375,2214473.31017518,6,11
"150",4761,"Anas acuta","Sumas Prairie",320,"2018-01-31 09:50","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-31,"BC",4068129.91765831,1950863.52818915,3,26
"151",4771,"Anas acuta","Big Lake--Interpretive Trail",2,"2017-10-19","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-19,"AB",4802492.51142093,2180418.91111363,4,11
"152",4778,"Anas acuta","Keephills Plant Cooling Ponds",1,"2018-01-07 13:21","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-07,"AB",4752431.81358666,2181644.80800571,0,23
"153",4782,"Anas acuta","Cheam Lake Wetlands Regional Park",2,"2017-09-12 09:40","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-09-12,"BC",4102621.32935356,1952732.25214386,2,6
"154",4787,"Anas acuta","St. Albert--Grey Nuns Spruce Woodlot",1,"2017-10-08","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-08,"AB",4807997.24335357,2180171.13181285,0,10
"155",4796,"Anas acuta","Burnaby Lake--Piper Spit",1,"2017-11-22 16:15","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-11-22,"BC",4028596.65530307,1997016.23038674,3,16
"156",4803,"Anas acuta","Chilliwack CBC - Areas 5&8",1,"2017-12-16 07:29","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-12-16,"BC",4091213.55874526,1957915.1273355,6,19
"157",4817,"Anas acuta","Twin marsh on 590",4,"2017-10-11","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2017-10-11,"AB",4768081.42140131,2008078.63711472,3,10
"158",4818,"Anas acuta","Reifel Bird Sanctuary",2,"2018-01-31 11:20","Northern Pintail","ncbi","Anas acuta","Anas acuta","Anas","Anatidae","Anseriformes",2018-01-31,"BC",4005117.17973462,1991652.37070744,3,26
"159",4882,"Anas crecca","Great Blue Heron Nature Reserve--Heron Loop Trail",3,"2018-01-09 09:35","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2018-01-09,"BC",4078344.20467461,1952457.4232042,2,23
"160",4899,"Anas crecca","Great Blue Heron Nature Reserve",NA,"2017-10-29 08:25","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-29,"BC",4078583.67840408,1952623.01034107,0,13
"161",4904,"Anas crecca","Chilliwack--Banford Rd",1,"2018-01-09 09:30","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2018-01-09,"BC",4090525.55760032,1952130.78469234,2,23
"162",4932,"Anas crecca","North Vancouver--Maplewood Conservation Area",1,"2017-10-29 16:20","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-29,"BC",4027759.6370909,2005486.20321487,0,13
"163",4936,"Anas crecca","Great Blue Heron Nature Reserve--Heron Loop Trail",7,"2018-01-16 08:50","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2018-01-16,"BC",4078344.20467461,1952457.4232042,2,24
"164",4952,"Anas crecca","Iona Island inner ponds",NA,"2017-11-09 14:23","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-11-09,"BC",4010045.30047809,2004004.06592728,4,14
"165",4955,"Anas crecca","Aspen Beach Provincial Park",4,"2017-10-18","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-18,"AB",4745002.06815695,2067302.97442898,3,11
"166",4956,"Anas crecca","Sherwood Park--Heritage Wetlands Park",1,"2017-09-25 08:50","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-09-25,"AB",4829215.189829,2161734.57221178,1,8
"167",4959,"Anas crecca","Marsh on RR 272",9,"2017-10-07","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-07,"AB",4739423.76512009,2004147.12431748,6,9
"168",4964,"Anas crecca","Pitt Meadows--Connecting Road Area",10,"2017-12-26 14:34","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-12-26,"BC",4046967.9516716,1989150.87742801,2,21
"169",4972,"Anas crecca","Marsh on 374",3,"2017-09-27","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-09-27,"AB",4742271.04138037,2037649.57361057,3,8
"170",4997,"Anas crecca","Hwy 11 east of Red Deer",4,"2017-10-11","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-11,"AB",4772232.35004978,2037180.0104431,3,10
"171",5005,"Anas crecca","Twin marsh on 590",2,"2017-10-11","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-11,"AB",4768081.42140131,2008078.63711472,3,10
"172",5013,"Anas crecca","Aldergrove Regional Park (Gordon's Brook)",13,"2018-01-09 10:15","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2018-01-09,"BC",4046357.91707263,1957856.85514077,2,23
"173",5042,"Anas crecca","Ghostpine Springs Sanctuary",4,"2017-10-11","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-11,"AB",4766398.93774563,2008709.97300997,3,10
"174",5043,"Anas crecca","Sumas Prairie",50,"2018-01-31 12:25","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2018-01-31,"BC",4068129.91765831,1950863.52818915,3,26
"175",5075,"Anas crecca","Cooking Lake",50,"2017-09-03","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-09-03,"AB",4837650.63291609,2145286.9641471,0,5
"176",5102,"Anas crecca","Trinity Western University",4,"2017-11-16 13:30","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-11-16,"BC",4045200.00283643,1975526.53752135,4,15
"177",5114,"Anas crecca","AB Cooking Lake",10,"2017-08-16","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-08-16,"AB",4834704.73686495,2147702.00056619,3,2
"178",5115,"Anas crecca","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",40,"2018-01-04 12:07","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2018-01-04,"BC",4022690.72560239,1977113.38447305,4,22
"179",5120,"Anas crecca","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",NA,"2017-09-27 14:00","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-09-27,"BC",4022690.72560239,1977113.38447305,3,8
"180",5121,"Anas crecca","Marsh on 374",2,"2017-09-30","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-09-30,"AB",4742271.04138037,2037649.57361057,6,8
"181",5135,"Anas crecca","Boundary Bay--104th to 112th Sts., Delta",1,"2017-10-29 15:54","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-29,"BC",4020802.26498919,1980715.72483196,0,13
"182",5147,"Anas crecca","Timberlane Lane, Abbotsford, BC",6,"2017-12-20 08:00","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-12-20,"BC",4063359.50998637,1953340.99666505,3,20
"183",5148,"Anas crecca","Murray Marsh",6,"2017-10-20","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-20,"AB",4800299.87118808,2194819.77332181,5,11
"184",5153,"Anas crecca","Pitt Meadows--Connecting Road Area",30,"2018-01-18 12:21","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2018-01-18,"BC",4046967.9516716,1989150.87742801,4,24
"185",5154,"Anas crecca","Langley--Brydon Lagoon",3,"2018-01-24 14:45","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2018-01-24,"BC",4037734.83993045,1974134.2354562,3,25
"186",5160,"Anas crecca","Blackie Spit (Incl. Dunsmuir Farm & Nicomekl estuary)",26,"2017-11-08 14:30","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-11-08,"BC",4022690.72560239,1977113.38447305,3,14
"187",5170,"Anas crecca","Sherwood Park--Heritage Wetlands Park",3,"2017-09-10","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-09-10,"AB",4829215.189829,2161734.57221178,0,6
"188",5175,"Anas crecca","RR12 Gravel Parkland County",3,"2017-10-10","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-10,"AB",4779376.15389952,2176424.45515421,2,10
"189",5181,"Anas crecca","Harrison Mills--Eagle Point Park (Chehalis Estuary)",22,"2017-11-07 09:30","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-11-07,"BC",4093703.75790136,1965719.14616858,2,14
"190",5186,"Anas crecca","St. Albert--Riel Wetlands--Nadeau Pond",8,"2017-10-01","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4807695.453169,2179166.99048015,0,9
"191",5196,"Anas crecca","Abbotsford--Fishtrap Creek Park",1,"2017-11-08 14:00","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-11-08,"BC",4056865.37340931,1958849.28430408,3,14
"192",5200,"Anas crecca","Brunswick Point, Delta",3000,"2017-11-30 10:00","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-11-30,"BC",4005297.71537167,1987221.19946838,4,17
"193",5205,"Anas crecca","Abbotsford--Fishtrap Creek Park",1,"2017-11-29 14:44","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-11-29,"BC",4056865.37340931,1958849.28430408,3,17
"194",5212,"Anas crecca","Sherwood Park--Centennial Park",2,"2017-09-02","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-09-02,"AB",4827184.60042997,2165297.74075336,6,4
"195",5217,"Anas crecca","Sherwood Park--Heritage Wetlands Park",3,"2017-10-21","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-21,"AB",4829215.189829,2161734.57221178,6,11
"196",5221,"Anas crecca","McDonald Park, Fraser Valley",65,"2017-12-26 09:18","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-12-26,"BC",4072234.30031994,1954991.92961239,2,21
"197",5227,"Anas crecca","Cooking Lake",10,"2017-10-28","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-28,"AB",4837650.63291609,2145286.9641471,6,12
"198",5260,"Anas crecca","Sardis Park",1,"2017-11-22 10:07","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-11-22,"BC",4086164.03821647,1952676.12373182,3,16
"199",5267,"Anas crecca","Coal Lake",10,"2017-10-14","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-14,"AB",4812456.33078019,2106637.17755864,6,10
"200",5268,"Anas crecca","RR12 Gravel Parkland County",1,"2017-10-05","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-05,"AB",4779376.15389952,2176424.45515421,4,9
"201",5269,"Anas crecca","Sherwood Park--Heritage Wetlands Park",1,"2017-10-02","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-02,"AB",4829215.189829,2161734.57221178,1,9
"202",5274,"Anas crecca","Harrison Hot Springs--Beach & town",11,"2017-10-26 14:40","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-26,"BC",4105980.13553438,1964528.91933387,4,12
"203",5279,"Anas crecca","Sherwood Park--Heritage Wetlands Park",2,"2017-09-12 15:00","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-09-12,"AB",4829215.189829,2161734.57221178,2,6
"204",5283,"Anas crecca","Brazeau Dam",4,"2017-10-21","Green-winged Teal","ncbi","Anas crecca","Anas crecca","Anas","Anatidae","Anseriformes",2017-10-21,"AB",4664279.20756534,2157401.20573918,6,11
